id,author,text,like_count,timestamp,parent
UgwNg2LDdmoSuyGHEiJ4AaABAg.ANSFOBy4IP5ANSbYFRWldd,@monerpmon-k2c,​ @MaxKps pure souche 😂,0,1758758400,UgwNg2LDdmoSuyGHEiJ4AaABAg
UgyA1sqPGiFtpF1WFQV4AaABAg,@Skyzoli,Rien que pour son humilité il le mérite bien plus que Yamal,1,1758758400,root
Ugx1y9dW1vu7z_a7bzh4AaABAg,@NibrownNibrown,"Bravo ousmane je suis fier de toi , entre temps si yamine était dans Paris avec tous ce qu’il a fait il aurait du avoir le ballon d’or",0,1758758400,root
UgxYEozm5iUamBqMXkF4AaABAg,@mondemotivation,Je suis tombé sur cette chanson officielle qui célèbre le ballon d'or d'Ousmane Dembélé: https://www.youtube.com/watch?v=tjsk4cjFWtY&list=RDtjsk4cjFWtY&start_radio=1,0,1758758400,root
UgwZPZlVCB643WQGdBJ4AaABAg,@SyllaAboulaye-h7b,"Quel bonheur pour nous ,je suis fier de toi Ousmane dembellé",0,1758758400,root
UgziB69zccgp7VViS-54AaABAg,@mrbrt189,"Il le mérite, un joueur exceptionnel et humble, bravo à toi Ousmane !",0,1758758400,root
UgwolxiGxFINyrJG1YF4AaABAg,@taniatumba9662,🎉🎉🎉❤❤❤félicitations à vous Ousmane DEMBELE🎉🎉🎉🎉🎉❤❤❤,0,1758758400,root
UgwBj4kBIYCLyDXxMy54AaABAg,@kishu25a,See raphina 😢,0,1758758400,root
UgzxoOnhbTgViFnljPZ4AaABAg,@VAYBOFFICIAL,"Mais quel Niveau de GRATITUDE!!!! Tes parents ont fait un excellent travail d'education... Que mea enfants te ressemblent, frère! Que le Tout Puissant le Createur de toute chose t'accompagne partout encore",0,1758758400,root
UgzT2_kqpPkRJsXRced4AaABAg,@VAYBOFFICIAL,C'est beau quand des hommes humbles accomplissent des grandes choses...,0,1758758400,root
UgyKPoeehoeI9QAf2u54AaABAg,@CathyLivembe,C'était évident ❤❤❤,1,1758758400,root
UgwhosMX6GNK7mNkzsh4AaABAg,@roberte2004,He comes from a non-competitive league so of course he has all those goals. If a team wins 13 of 15 and they are runner-up 2 of them. There is no competition in France.,0,1758758400,root
UgzEPlQjRONLS8oRLh14AaABAg,@rudirusmana05,"Congrats Dembele, you deserve it! 🎉🔥",0,1758758400,root
Ugyl-9mHFQ3StjlS7Bx4AaABAg,@falkdittrich898,Jetzt weiß man endgültig was diese Auszeichnung wert ist. 😂,0,1758758400,root
UgzC88niNxL18ChJJbd4AaABAg,@FredLoca,❤❤❤,0,1758758400,root
Ugyx6UGYdqFqpbJIsGF4AaABAg,@ylies_ftn1668,"Ils ouvrait, ils étaient plus pour, j’en ai, mais ils ont été plus il était plus pour John veste ça fait une très bonne saison mais le ballon d’or Dembélé il é le ballon d’or était plus attribué pour Jean et S",0,1758758400,root
Ugx6v1YgbLGiBht5dyV4AaABAg,@YoussefBenali-s4t,Achraf hakimi merite la premiere place,0,1758758400,root
Ugw9xRl1P3_ujZB4CL54AaABAg,@drelverelAmbende,Lamine tu le mérites pour moi du courage,0,1758758400,root
Ugyh6r5OwNwbdjwVFu94AaABAg,@LQQF,C’est quoi ces énergumènes qui ne savent pas se tenir dans le public,0,1758758400,root
UgzHWadyp-TeescwnS94AaABAg,@drelverelAmbende,Félicitations Dembelé,0,1758758400,root
Ugztz9_KOyLmDuO2w0x4AaABAg,@bil7522,meanwhile ronaldihno is becoming an alien,0,1758758400,root
UgwoML13JhoYLdZ7bvl4AaABAg,@LQQF,Le décolleté très bizarre c’est desséché et difforme,0,1758758400,root
UgxN6hg7w1C53XkLmTV4AaABAg,@SarahToure-h9n,🤲🏽👏👏👏👏👏,0,1758758400,root
UgzjnPJTqhy0J0guOIx4AaABAg,@0VincentO,"11:21 ""si elle veut"" comment il est trop gentil Ousmane j'en reviens pas",0,1758758400,root
UgyKdhVszKr_UbtWYuF4AaABAg,@awonoleonel8509,Il le mérite vraiment ce ballon d'or,0,1758758400,root
